# Shakespearean character names with metrical stress as the verse uses them.
# name<TAB>stress options ('1' stressed, '0' unstressed; '|' separates variants,
# e.g. Romeo is usually three syllables but often two).  Wins over CMUdict.
Hero	10
Hippolyta	0100
Holofernes	0010
Horatio	010
Hortensia	010
Hortensio	0100|010
Hortensius	0100
Hotspur	10
Hubert	10
Humphrey	10
Iachimo	100
Iago	010
Iden	10
Imogen	100
Iras	10
Iris	10
Isabel	100
Isabella	0010
Jamy	10
Jaquenetta	0010
Jaques	10|1
Jessica	100
John	1
Joseph	10
Julia	10
Juliet	100|10
Julius	100|10
Juno	10
Katharina	0010
Katharine	100
Kent	1
Laertes	010
Lafeu	01
Lancaster	100
Lartius	10
Launce	1
Laurence	10
Lavinia	010
Lear	1
Lena	10
Lennox	10
Leonardo	0010
Leonato	0010
Leonatus	0010
Leonine	100
Leontes	010
Lepidus	100
Lewis	10
Ligarius	0100
Lincoln	10
Lodovico	0010
Longaville	100
Lorenzo	010
Lovel	10
Lucentio	0100|010
Lucetta	010
Luciana	0010
Lucianus	0010
Lucilius	0100
Lucio	100|10
Lucius	100|10
Lucullus	010
Lucy	10
Lychorida	0100
Lysander	010
Lysimachus	0100
Macbeth	01
Macduff	01
Macmorris	010
Malcolm	10
Malvolio	0100
Mamillius	0100
Marcellus	010
Marcius	10
Mardian	10
Margarelon	0100
Margaret	100
Maria	010
Mariana	0010
Marina	010
Mars	1
Martius	10
Marullus	010
Mecaenas	010
Melun	01
Menas	10
Menecrates	0100
Menelaus	0010
Menenius	0100
Menteith	01
Mercade	10
Mercutio	0100|010
Messala	010
Michael	10
Miranda	010
Montague	100
Montano	010
Montgomery	0100
Mopsa	10
Morocco	010
Mortimer	100
Morton	10
Moth	1
Mowbray	10
Mustardseed	100
Mutius	10
Nathaniel	010
Nerissa	010
Nestor	10
Norfolk	10
Northumberland	0100
Nurse	1
Nym	1
Oberon	100
Octavia	010
Octavius	0100
Oliver	100
Olivia	010
Ophelia	010
Orlando	010
Orleans	10
Orsino	010
Osric	10
Oswald	10
Othello	010
Overdone	100
Oxford	10
Page	1
Palamon	100
Pandarus	100
Pandulph	10
Panthino	010
Paris	10
Parolles	010
Patience	10
Patroclus	010
Paulina	010
Peaseblossom	100
Pedro	10
Pembroke	10
Percy	10
Perdita	100
Pericles	100
Peter	10
Peto	10
Petruchio	0100|010
Phebe	10
Philario	010
Philemon	010
Philip	10
Philo	10
Philostrate	100
Philotus	010
Phrynia	10
Pierce	1
Pinch	1
Pindarus	100
Pisanio	0100|010
Pistol	10
Plantagenet	0100
Poins	1
Polixenes	0100
Polonius	0100
Pompey	10
Pomphey	10
Popilius	0100
Portia	10
Posthumus	100|010
Priam	10
Proculeius	0010
Prospero	100
Proteus	10
Publius	100
Puck	1
Quickly	10
Quince	1
Quintus	10
Rambures	010
Ratcliff	10
Regan	10
Reignier	10
Reynaldo	010
Richard	10
Richmond	10
Rivers	10
Robin	10
Roderigo	0010
Romeo	100|10
Rosalind	100
Rosaline	100
Rosencrantz	100
Ross	1
Rugby	10
Rumour	10
Rutland	10
Salanio	010
Salarino	0010
Salerio	010
Salisbury	100
Sampson	10
Saturninus	0010
Say	1
Scarus	10
Scroop	1
Sebastian	010
Seleucus	010
Sempronius	0100
Servilius	0100
Seyton	10
Shallow	10
Shylock	10
Sicinius	0100
Silence	10
Silius	10
Silvia	10
Silvius	100
Simonides	0100
Simpcox	10
Siward	10
Slender	10
Sly	1
Snare	1
Snout	1
Snug	1
Solinus	010
Somerset	100
Soothsayer	100
Speed	1
Stafford	10
Stanley	10
Starveling	10
Stephano	100|010
Strato	10
Suffolk	10
Surrey	10
Talbot	10
Tamora	100
Tearsheet	10
Thaisa	010
Thaliard	10
Thersites	010
Theseus	10
Thomas	10
Thurio	100
Thyreus	10
Timandra	010
Timon	10
Titania	010
Titinius	0100
Titus	10
Touchstone	10
Tranio	100
Trebonius	0100
Tressel	10
Trinculo	100
Troilus	10
Tubal	10
Tybalt	10
Tyrrel	10
Ulysses	010
Ursula	100
Valentine	100
Valeria	010
Varrius	10
Varro	10
Vaughan	1
Vaux	1
Venice	10
Ventidius	0100
Verges	10
Vernon	10
Vincentio	0100|010
Vintner	10
Viola	100
Virgilia	010
Voltimand	100
Volumnia	010
Volumnius	0100
Warwick	10
Westmoreland	100
William	10
Williams	10
Willoughby	100
Wolsey	10
Woodvile	10
Worcester	10
York	1
Austria	100
Balthazar	100
Basset	10
Bernardo	010
Bevis	10
Bigot	10
Biron	01
Cardinal	100
Countess	10
Dauphin	10
Davy	10
Derby	10
Dick	1
Duchess	10
Duke	1
Ely	10
Essex	10
Fang	1
Gardener	100
Ghost	1
Governor	100
Grandpre	10
Grey	1
Gurney	10
Harcourt	10
Holland	10
Horner	10
Hume	1
Hymen	10
Katarina	0010
King	1
Launcelot	100
Lovell	10
Luce	1
Marcus	10
Montjoy	10
Mouldy	10
Myrmidons	100
Nicholas	100
Prince	1
Princess	10
Queen	1
Robert	10
Sands	1
Scales	1
Shadow	10
Simple	10
Smith	1
Taurus	10
Travers	10
Wart	1
Whitmore	10
